ID,exercise,lift_date,lb,reps,set
1,squat,9/1/2019,135,5,1
2,squat,9/1/2019,165,5,2
3,squat,9/1/2019,205,5,3
4,squat,9/1/2019,205,3,4
5,squat,9/1/2019,135,5,5
6,squat,9/1/2019,135,5,6
7,leg extension,9/1/2019,90,12,1
8,leg extension,9/1/2019,90,12,2
9,leg extension,9/1/2019,90,12,3
10,leg extension,9/1/2019,90,12,4
11,leg extension,9/1/2019,70,12,5
12,seated leg curl,9/1/2019,70,12,1
13,seated leg curl,9/1/2019,70,12,2
14,seated leg curl,9/1/2019,70,12,3
15,seated leg curl,9/1/2019,70,12,4
16,seated leg curl,9/1/2019,70,12,5
17,calf raise,9/1/2019,240,12,1
18,calf raise,9/1/2019,240,12,2
19,calf raise,9/1/2019,240,12,3
20,calf raise,9/1/2019,220,12,4
21,calf raise,9/1/2019,220,12,5
22,power tower leg raise,9/1/2019,0,12,1
23,power tower leg raise,9/1/2019,0,12,2
24,power tower leg raise,9/1/2019,0,12,3
25,power tower leg raise,9/1/2019,0,12,4
26,power tower leg raise,9/1/2019,0,12,5
27,bench press,9/3/2019,95,8,1
28,bench press,9/3/2019,135,5,2
29,bench press,9/3/2019,135,5,3
30,bench press,9/3/2019,145,5,4
31,bench press,9/3/2019,155,5,5
32,bench press,9/3/2019,135,8,6
33,bench press,9/3/2019,135,8,7
34,flat bench dumbbell press,9/3/2019,20,8,1
35,flat bench dumbbell press,9/3/2019,25,8,2
36,flat bench dumbbell press,9/3/2019,25,8,3
37,cross cable fly,9/3/2019,10,12,1
38,cross cable fly,9/3/2019,20,12,2
39,cross cable fly,9/3/2019,20,12,3
40,cross cable fly,9/3/2019,20,12,4
41,cross cable fly,9/3/2019,20,12,5
42,tricep pushdown,9/3/2019,70,12,1
43,tricep pushdown,9/3/2019,70,12,2
44,tricep pushdown,9/3/2019,70,12,3
45,tricep pushdown,9/3/2019,70,12,4
46,tricep pushdown,9/3/2019,70,12,5
47,seated cable row,9/4/2019,75,12,1
48,seated cable row,9/4/2019,75,12,2
49,seated cable row,9/4/2019,90,12,3
50,seated cable row,9/4/2019,90,12,4
51,seated cable row,9/4/2019,90,12,5
52,t bar row with handle,9/4/2019,70,12,1
53,t bar row with handle,9/4/2019,80,12,2
54,t bar row with handle,9/4/2019,80,12,3
55,t bar row with handle,9/4/2019,80,12,4
56,t bar row with handle,9/4/2019,80,12,5
57,dumbbell bicep curl,9/4/2019,30,12,1
58,dumbbell bicep curl,9/4/2019,30,10,2
59,dumbbell bicep curl,9/4/2019,25,10,3
60,dumbbell bicep curl,9/4/2019,20,12,4
61,dumbbell bicep curl,9/4/2019,20,12,5
62,crossbody hammer curl,9/4/2019,20,12,1
63,crossbody hammer curl,9/4/2019,20,12,2
